H_m,R_p_act_02,R_p_act_06,R_p_act_10
0,0.109174,0.126611,0.137541
5,0.11914,0.14365,0.159597
10,0.132052,0.169189,0.194905
15,0.148574,0.202689,0.240154
20,0.168232,0.240704,0.288867
25,0.190198,0.28022,0.336474
30,0.213685,0.319093,0.380303
35,0.238032,0.355912,0.418976
40,0.262681,0.389817,0.451995
45,0.287206,0.420362,0.479346
50,0.311089,0.447357,0.501302
55,0.334539,0.470794,0.518284
60,0.35696,0.490791,0.530757
65,0.378304,0.507499,0.539206
70,0.398469,0.521174,0.544108
75,0.417406,0.532007,0.545911
80,0.435079,0.540252,0.545044
85,0.451478,0.546137,0.541887
90,0.466606,0.549898,0.536793
95,0.480483,0.551746,0.529546
100,0.493137,0.551886,0.521481
105,0.504634,0.550508,0.512465
110,0.514956,0.547095,0.502534
115,0.524176,0.543259,0.491934
120,0.532335,0.53849,0.480779
125,0.539519,0.532774,0.469259
130,0.54574,0.526274,0.457495
135,0.55104,0.519145,0.445596
140,0.555474,0.511429,0.433648
145,0.559083,0.503265,0.421728
150,0.561952,0.494739,0.409898
155,0.563417,0.485924,0.398207
160,0.564991,0.476889,0.386699
165,0.566008,0.467693,0.375406
170,0.566178,0.458388,0.364354
175,0.565957,0.449021,0.353564
180,0.565197,0.439632,0.343051
185,0.563946,0.430256,0.332824
190,0.562282,0.420924,0.322892
195,0.560155,0.411663,0.313257
200,0.557647,0.402494,0.303921
