lambda_u_per_km2,R_p_act_02,R_p_act_06,R_p_act_10
2,0.337166,0.480534,0.532335
4,0.428797,0.544925,0.55717
6,0.480534,0.557704,0.53849
8,0.512305,0.552189,0.510407
10,0.532335,0.53849,0.480779
12,0.544925,0.522108,0.452361
14,0.552447,0.504499,0.426048
16,0.556339,0.486661,0.402012
18,0.557704,0.469191,0.380163
20,0.55717,0.452361,0.360321
22,0.554484,0.436301,0.342282
24,0.552189,0.421059,0.325848
26,0.547683,0.406639,0.310837
28,0.543339,0.393019,0.297088
30,0.53849,0.380163,0.284458
32,0.533271,0.36803,0.272823
34,0.527785,0.356576,0.262077
36,0.522108,0.345756,0.252124
38,0.516299,0.335527,0.242882
40,0.510407,0.325848,0.234282
42,0.504499,0.316681,0.226258
44,0.498538,0.307991,0.218758
46,0.492586,0.299744,0.211731
48,0.486661,0.291909,0.205136
50,0.480779,0.284458,0.198934
