beta_dB,P_c_analytical_p0.1,P_c_mc_p0.1,P_c_analytical_p0.5,P_c_mc_p0.5,P_c_analytical_p0.9,P_c_mc_p0.9
-10,0.213172,0.2063,0.453893,0.4553,0.555099,0.5623
-9,0.211563,0.2035,0.447313,0.4505,0.542421,0.5519
-8,0.209826,0.2007,0.439312,0.4426,0.527155,0.5384
-7,0.207857,0.1986,0.429654,0.434,0.508958,0.523
-6,0.205557,0.1965,0.418103,0.4221,0.487526,0.5064
-5,0.202835,0.1945,0.404437,0.4104,0.462637,0.4834
-4,0.199604,0.193,0.388469,0.3955,0.434204,0.4566
-3,0.195784,0.1907,0.370075,0.3795,0.402324,0.4266
-2,0.191303,0.1877,0.349223,0.3605,0.367327,0.3937
-1,0.186103,0.1844,0.325997,0.3414,0.329797,0.3596
0,0.180141,0.18,0.30062,0.3198,0.290567,0.3227
1,0.173397,0.1747,0.273454,0.2951,0.250672,0.2849
2,0.165875,0.1697,0.244996,0.2712,0.211275,0.2474
3,0.157605,0.1626,0.215849,0.2419,0.173551,0.211
4,0.148648,0.156,0.18669,0.2135,0.138585,0.1767
5,0.13909,0.1493,0.158218,0.1853,0.107263,0.1408
6,0.129041,0.1414,0.131113,0.1582,0.0801985,0.1121
7,0.118629,0.1325,0.105982,0.1347,0.0576971,0.0861
8,0.107993,0.1243,0.0833274,0.1129,0.0397519,0.0631
9,0.0972775,0.1151,0.0635113,0.0934,0.026079,0.0473
10,0.0866278,0.105,0.0467383,0.0727,0.0161779,0.0334
11,0.0761841,0.0955,0.0330481,0.0573,0.00940904,0.0228
12,0.0660798,0.0847,0.0223217,0.0428,0.0050771,0.0147
13,0.0564392,0.0756,0.0142997,0.0298,0.00250933,0.0091
14,0.0473767,0.068,0.00861364,0.0213,0.00111824,0.0053
15,0.0389955,0.0579,0.00482766,0.0149,0.00044074,0.0019
16,0.0313848,0.0504,0.00248543,0.0091,0.000150058,0.0007
17,0.024617,0.0431,0.00115715,0.0053,4.2882e-05,0.0001
18,0.0187431,0.0354,0.000477984,0.0032,9.93182e-06,0
19,0.0137876,0.0298,0.000171157,0.0018,1.7867e-06,0
20,0.00974398,0.0241,5.16506e-05,0.0006,2.37113e-07,0
