p_act,P_c_bounded_R0_3km,P_c_bounded_R0_5km,P_c_bounded_R0_10km,P_c_bounded_R0_20km,P_c_unbounded,P_c_fixed_p_act_0.5,P_c_fixed_p_act_1.0
0.05,0.18319,0.149688,0.128547,0.124128,0.102768,0.144454,0.0820876
0.1,0.211463,0.181827,0.171763,0.16666,0.134119,0.144454,0.0820876
0.15,0.22783,0.208341,0.200128,0.193991,0.150898,0.144454,0.0820876
0.2,0.241711,0.228003,0.219259,0.212181,0.159404,0.144454,0.0820876
0.25,0.253041,0.241708,0.232069,0.224156,0.162666,0.144454,0.0820876
0.3,0.261472,0.250804,0.240298,0.231648,0.162443,0.144454,0.0820876
0.35,0.267111,0.256372,0.245091,0.235799,0.159859,0.144454,0.0820876
0.4,0.270299,0.259213,0.247256,0.237411,0.155672,0.144454,0.0820876
0.45,0.271432,0.259924,0.247386,0.237067,0.150412,0.144454,0.0820876
0.5,0.27088,0.258959,0.245926,0.23521,0.144454,0.144454,0.0820876
0.55,0.268962,0.256671,0.243225,0.232177,0.138075,0.144454,0.0820876
0.6,0.265947,0.253339,0.239551,0.228236,0.131474,0.144454,0.0820876
0.65,0.262054,0.249184,0.235122,0.223595,0.124797,0.144454,0.0820876
0.7,0.257466,0.244385,0.230111,0.218424,0.118153,0.144454,0.0820876
0.75,0.252331,0.23909,0.224658,0.212856,0.11162,0.144454,0.0820876
0.8,0.246774,0.233416,0.218877,0.207003,0.105254,0.144454,0.0820876
0.85,0.240896,0.227462,0.212861,0.200953,0.0990961,0.144454,0.0820876
0.9,0.234781,0.22131,0.206688,0.194778,0.0931718,0.144454,0.0820876
0.95,0.2285,0.215025,0.200419,0.188539,0.0874991,0.144454,0.0820876
1,0.222113,0.208663,0.194106,0.182282,0.0820876,0.144454,0.0820876
