p_act,P_c_analytical_b-5dB,P_c_mc_b-5dB,P_c_analytical_b+0dB,P_c_mc_b+0dB,P_c_analytical_b+5dB,P_c_mc_b+5dB
0.05,0.144471,0.1557,0.130835,0.1435,0.105847,0.1256
0.1,0.202835,0.1945,0.180141,0.18,0.13909,0.1493
0.15,0.247013,0.2482,0.214513,0.2211,0.157619,0.1726
0.2,0.282486,0.2864,0.239807,0.2494,0.167694,0.1918
0.25,0.31182,0.3145,0.258787,0.2718,0.172326,0.2004
0.3,0.336504,0.3467,0.273076,0.2915,0.173276,0.2067
0.35,0.357509,0.3648,0.283742,0.3009,0.171675,0.2
0.4,0.375517,0.3844,0.29154,0.3091,0.168295,0.1996
0.45,0.391032,0.4073,0.297024,0.3213,0.163678,0.2003
0.5,0.404437,0.4104,0.30062,0.3198,0.158218,0.1853
0.55,0.416036,0.4333,0.302661,0.3293,0.152204,0.1867
0.6,0.426071,0.4348,0.303411,0.3274,0.14585,0.1815
0.65,0.434744,0.4489,0.303085,0.3251,0.139317,0.1746
0.7,0.442218,0.4539,0.30186,0.3358,0.132725,0.1792
0.75,0.448635,0.4462,0.299883,0.3161,0.126166,0.1533
0.8,0.454111,0.4807,0.297276,0.3403,0.119705,0.1588
0.85,0.45875,0.4786,0.294141,0.3239,0.113392,0.15
0.9,0.462637,0.4834,0.290567,0.3227,0.107263,0.1408
0.95,0.465851,0.4774,0.286626,0.3119,0.101343,0.1318
1,0.468458,0.4938,0.282384,0.3165,0.0956486,0.1291
