p_act,P_c_H_40m,P_c_H_80m,P_c_H_120m
0.05,0.0517241,0.0845176,0.122245
0.1,0.0639542,0.114739,0.165875
0.15,0.0742824,0.137751,0.19446
0.2,0.0834416,0.156242,0.214007
0.25,0.0917453,0.171478,0.227381
0.3,0.0993714,0.184205,0.236274
0.35,0.106436,0.194913,0.2418
0.4,0.113021,0.203955,0.244738
0.45,0.119188,0.211593,0.245659
0.5,0.124986,0.218034,0.244996
0.55,0.130453,0.22344,0.243081
0.6,0.13562,0.227946,0.240178
0.65,0.140514,0.231662,0.236494
0.7,0.145158,0.234682,0.232197
0.75,0.149572,0.237086,0.227425
0.8,0.15377,0.238942,0.222289
0.85,0.15777,0.240309,0.21688
0.9,0.161583,0.241241,0.211275
0.95,0.165222,0.241781,0.205534
1,0.168697,0.241971,0.199711
