H_m,P_c_p_act_0.2,P_c_p_act_0.6,P_c_p_act_1.0
0,0.0366216,0.0413645,0.0443846
5,0.0397281,0.0466087,0.0510974
10,0.0433693,0.053554,0.0607369
15,0.0477994,0.0630104,0.0744736
20,0.0531858,0.0750446,0.0917742
25,0.0595619,0.0890809,0.111132
30,0.066841,0.104312,0.131057
35,0.0748625,0.120008,0.150476
40,0.0834416,0.13562,0.168697
45,0.0924022,0.150763,0.185276
50,0.101594,0.165166,0.199927
55,0.110896,0.17863,0.212465
60,0.12021,0.19101,0.222787
65,0.129461,0.202196,0.230857
70,0.138583,0.21211,0.236693
75,0.147526,0.220702,0.240363
80,0.156242,0.227946,0.241971
85,0.164693,0.233837,0.241649
90,0.172843,0.23839,0.239555
95,0.180663,0.241636,0.235858
100,0.188126,0.243619,0.230739
105,0.19521,0.244396,0.224383
110,0.201895,0.244032,0.216974
115,0.208164,0.2426,0.208692
120,0.214007,0.240178,0.199711
125,0.219412,0.236848,0.190196
130,0.224372,0.232696,0.180298
135,0.228883,0.227806,0.17016
140,0.232942,0.222265,0.159909
145,0.236551,0.216156,0.149658
150,0.23971,0.209562,0.139508
155,0.242423,0.202561,0.129547
160,0.244698,0.195231,0.119847
165,0.246539,0.187643,0.11047
170,0.247958,0.179864,0.101465
175,0.248962,0.171958,0.0928711
180,0.249564,0.163984,0.0847165
185,0.249776,0.155995,0.0770208
190,0.249611,0.148039,0.0697954
195,0.249082,0.140161,0.0630448
200,0.248204,0.132399,0.0567671
