lambda_u_per_km2,P_c_p_act_0.2,P_c_p_act_0.6,P_c_p_act_1.0
1,0.0817488,0.132719,0.165875
2,0.110532,0.178663,0.214007
3,0.132719,0.207053,0.236274
4,0.150784,0.225108,0.244738
5,0.165875,0.236274,0.244996
6,0.178663,0.242574,0.240178
7,0.189591,0.245321,0.232197
8,0.198976,0.245428,0.222289
9,0.207053,0.243551,0.211275
10,0.214007,0.240178,0.199711
11,0.219985,0.235679,0.187981
12,0.225108,0.230339,0.176344
13,0.229476,0.224381,0.164979
14,0.233174,0.21798,0.154005
15,0.236274,0.211275,0.143496
16,0.238839,0.204375,0.1335
17,0.240923,0.197369,0.124039
18,0.242574,0.190326,0.115122
19,0.243833,0.183303,0.106745
20,0.244738,0.176344,0.098897
21,0.245321,0.169484,0.0915618
22,0.245614,0.16275,0.0847187
23,0.245641,0.156164,0.0783449
24,0.245428,0.149742,0.0724165
25,0.244996,0.143496,0.0669089
26,0.244364,0.137435,0.0617974
27,0.243551,0.131564,0.0570577
28,0.242572,0.125888,0.0526661
29,0.241443,0.120407,0.0485999
30,0.240178,0.115122,0.0448372
31,0.238787,0.110031,0.0413571
32,0.237284,0.105133,0.0381399
33,0.235679,0.100425,0.0351669
34,0.23398,0.0959025,0.0324208
35,0.232197,0.0915618,0.0298848
36,0.230339,0.0873983,0.0275438
37,0.228412,0.0834071,0.0253832
38,0.226424,0.0795832,0.0233896
39,0.224381,0.0759215,0.0215506
40,0.222289,0.0724165,0.0198544
41,0.220154,0.069063,0.0182902
42,0.21798,0.0658557,0.0168481
43,0.215773,0.0627891,0.0155186
44,0.213536,0.0598582,0.0142931
45,0.211275,0.0570577,0.0131637
46,0.208992,0.0543824,0.0121229
47,0.206691,0.0518276,0.0111638
48,0.204375,0.0493882,0.0102802
49,0.202048,0.0470596,0.00946607
50,0.199711,0.0448372,0.00871612
