p_act,R_analytical_d2,R_mc_d2,R_analytical_d5,R_mc_d5,R_analytical_d10,R_mc_d10
0.05,0.288765,0.56932,0.406402,0.637036,0.528032,0.740218
0.136364,0.420297,0.609622,0.587752,0.748579,0.714652,0.862953
0.222727,0.506259,0.690171,0.680107,0.828125,0.779398,0.917715
0.309091,0.56876,0.723035,0.734032,0.873033,0.801495,0.92339
0.395455,0.616429,0.772172,0.766686,0.891565,0.804029,0.950987
0.481818,0.653817,0.809932,0.786437,0.916014,0.796412,0.901278
0.568182,0.68369,0.835547,0.797785,0.972569,0.782495,0.902672
0.654545,0.707993,0.836111,0.803228,0.940791,0.766507,0.886316
0.740909,0.727706,0.891694,0.804628,0.958435,0.748881,0.868128
0.827273,0.743861,0.862536,0.803067,0.914143,0.730572,0.829895
0.913636,0.757125,0.923388,0.798343,0.941531,0.712015,0.814534
1,0.767998,0.909347,0.793301,0.929741,0.693618,0.795806
