p_act,R_H_40m,R_H_80m,R_H_120m
0.01,0.114855,0.153493,0.200156
0.02,0.129507,0.189763,0.25847
0.03,0.141866,0.2188,0.302223
0.04,0.152841,0.243748,0.337166
0.05,0.162834,0.265435,0.366004
0.06,0.172072,0.284611,0.3902
0.07,0.180702,0.302017,0.410934
0.08,0.188824,0.317637,0.428797
0.09,0.196511,0.332032,0.444348
0.1,0.203818,0.345184,0.457921
0.11,0.210789,0.357217,0.469955
0.12,0.217459,0.368527,0.480534
0.13,0.223854,0.378942,0.489945
0.14,0.230008,0.388636,0.498276
0.15,0.235932,0.397683,0.505693
0.16,0.241654,0.406142,0.512305
0.17,0.247165,0.414068,0.518202
0.18,0.252504,0.421507,0.523465
0.19,0.257673,0.428498,0.528151
0.2,0.262681,0.435079,0.532335
0.21,0.267543,0.441281,0.536097
0.22,0.272264,0.447131,0.539402
0.23,0.276852,0.452657,0.542338
0.24,0.281314,0.45788,0.544925
0.25,0.285657,0.462821,0.547176
0.26,0.289885,0.467498,0.549171
0.27,0.294006,0.47193,0.550933
0.28,0.298022,0.476131,0.552447
0.29,0.30194,0.480115,0.55371
0.3,0.305763,0.483896,0.554743
0.31,0.309496,0.487485,0.555627
0.32,0.313142,0.490894,0.556339
0.33,0.316704,0.494132,0.556891
0.34,0.320185,0.497209,0.557296
0.35,0.32359,0.500133,0.557563
0.36,0.32692,0.502914,0.557704
0.37,0.330179,0.505557,0.557727
0.38,0.333368,0.508092,0.557641
0.39,0.336491,0.510482,0.557453
0.4,0.339549,0.512754,0.55717
0.41,0.342545,0.514915,0.556799
0.42,0.345482,0.516969,0.555556
0.43,0.348357,0.518922,0.555057
0.44,0.351177,0.520779,0.554484
0.45,0.353943,0.522542,0.553843
0.46,0.356656,0.524218,0.553138
0.47,0.359246,0.52581,0.552373
0.48,0.361927,0.527321,0.552189
0.49,0.36449,0.528754,0.55081
0.5,0.367005,0.530114,0.549874
0.51,0.369474,0.531403,0.548894
0.52,0.371898,0.532624,0.547683
0.53,0.374279,0.53378,0.546656
0.54,0.376618,0.534873,0.545588
0.55,0.378881,0.535906,0.544482
0.56,0.381139,0.536882,0.543339
0.57,0.383358,0.537803,0.54217
0.58,0.385566,0.53867,0.540969
0.59,0.387709,0.539486,0.539742
0.6,0.389817,0.540252,0.53849
0.61,0.391889,0.540971,0.537216
0.62,0.393926,0.541645,0.53592
0.63,0.39593,0.542274,0.534605
0.64,0.397902,0.542861,0.533271
0.65,0.399841,0.543408,0.531921
0.66,0.401748,0.543914,0.530556
0.67,0.403626,0.544383,0.529177
0.68,0.405473,0.544815,0.527785
0.69,0.407291,0.545212,0.526381
0.7,0.409081,0.545574,0.524966
0.71,0.410842,0.545899,0.523542
0.72,0.412576,0.546197,0.522108
0.73,0.414284,0.546464,0.520666
0.74,0.415965,0.546701,0.519217
0.75,0.417621,0.546909,0.517761
0.76,0.419251,0.54709,0.516299
0.77,0.420857,0.547244,0.514832
0.78,0.422439,0.547372,0.513361
0.79,0.423997,0.547475,0.511886
0.8,0.425531,0.547553,0.510407
0.81,0.427044,0.547608,0.508925
0.82,0.428534,0.54764,0.507441
0.83,0.430002,0.54765,0.505988
0.84,0.431449,0.547639,0.504499
0.85,0.432875,0.547607,0.503009
0.86,0.43428,0.547555,0.501519
0.87,0.435665,0.547484,0.500028
0.88,0.437031,0.547394,0.498538
0.89,0.438377,0.547286,0.497048
0.9,0.439703,0.54716,0.495559
0.91,0.441011,0.547017,0.494072
0.92,0.442301,0.546857,0.492586
0.93,0.443573,0.546682,0.491101
0.94,0.444827,0.546491,0.489619
0.95,0.446063,0.546285,0.488139
0.96,0.447282,0.546064,0.486661
0.97,0.448485,0.545829,0.485186
0.98,0.449671,0.54558,0.483714
0.99,0.450841,0.545318,0.482245
1,0.451995,0.545044,0.480779
